symbol,market,category,shares,cost
NVDA,US,AI基礎建設,20,188.69
TSLA,US,未來科技,8,415.02
RKLB,US,太空科技,15,78.33
QQQ,US,美股ETF,1.848,708.19
AMZN,US,大型科技,5,223.0
META,US,大型科技,2,622.21
AMD,US,AI基礎建設,2,206.16
HIMS,US,醫療健康,35,49.04
SOFI,US,金融科技,55,20.61
MU,US,半導體記憶體,0.885,790.85
MSTR,US,加密貨幣相關,7,218.07
CRCL,US,加密貨幣相關,10,71.66
PLTR,US,AI軟體/資料分析,5,135.51
OKLO,US,核能/能源科技,6,67.05
ONDS,US,無人機/通訊科技,30,9.11
CIBR,US,美股ETF,3,75.4
GRAB,US,消費平台,60,4.4
0050,TW,台股ETF,2100,58.72
006208,TW,台股ETF,750,113.7
2308,TW,台股個股/電子零組件,5,2297.0
